Name,SALARY,POS,Starting,Team,Opponent,,Away,Home,Projecte Points,HR Forecasts,Pojected Points with HR Forecast,Secondary Name,qAB,HH%,AB,H,2B,3B,HR,BB,BA,OBP,OPS,BVP Points,BWAR,roba,WHIP,K,,,,,,17.22820339
Logan Webb,"9,300.00",P,YES,SF,NYM,#N/A,NYM,SF,17.8,8,13.8,L. Webb,,,,,,,,,,,,0,1,0.3,1.21,140,,,,,C,10.89259259
Bryan Woo,"10,500.00",P,YES,SEA,LAA,Sea,Sea,LAA,17.1,8,13.1,B. Woo,,,,,,,,,,,,0,1,0.3,0.94,115,,,,,1B,12.15
Nathan Eovaldi,"9,600.00",P,YES,TEX,ATL,#N/A,ATL,TEX,17,10,12,N. Eovaldi,,,,,,,,,,,,0,1,0.3,0.85,94,,,,,2B,11.35789474
Dean Kremer,"8,000.00",P,YES,BAL,COL,#N/A,COL,BAL,16.8,10,11.8,D. Kremer,,,,,,,,,,,,0,1,0.3,1.25,94,,,,,3b,11.50882353
MacKenzie Gore,"8,700.00",P,YES,WAS,MIN,WAS,WAS,MIN,15.9,10,10.9,M. Gore,,,,,,,,,,,,0,1,0.3,1.27,140,,,,,SS,11.61333333
Shota Imanaga,"9,900.00",P,YES,CHC,CWS,CHC,CHC,CWS,15.7,8,11.7,S. Imanaga,,,,,,,,,,,,0,1,0.3,0.92,53,,,,,OF,12.26315789
Nick Pivetta,"10,200.00",P,YES,SD,STL,SD,SD,STL,14.7,10,9.7,N. Pivetta,,,,,,,,,,,,0,1,0.3,1,127,,,,,,
Gavin Williams,"8,100.00",P,YES,CLE,KC,Cle,Cle,KC,14.4,8,10.4,G. Williams,,,,,,,,,,,,0,1,0.3,1.38,106,,,,,,
Zebby Matthews,"7,100.00",P,YES,MIN,WAS,#N/A,WAS,MIN,14.4,10,9.4,Z. Matthews,,,,,,,,,,,,0,1,0.3,1.61,31,,,,,,
Jose Soriano,"7,200.00",P,YES,LAA,SEA,#N/A,SEA,LAA,14.1,8,10.1,J. Soriano,,,,,,,,,,,,0,1,0.3,1.43,103,,,,,,
Jeffrey Springs,"6,900.00",P,YES,OAK,HOU,Oak,Oak,HOU,13.6,8,9.6,J. Springs,,,,,,,,,,,,0,1,0.3,1.22,90,,,,,,
Will Warren,"7,300.00",P,YES,NYY,PHI,#N/A,PHI,NYY,13.1,10,8.1,W. Warren,,,,,,,,,,,,0,1,0.3,1.44,117,,,,,,
Michael Wacha,"7,700.00",P,YES,KC,CLE,#N/A,CLE,KC,12.6,8,8.6,M. Wacha,,,,,,,,,,,,0,1,0.3,1.24,85,,,,,,
Ryan Gusto,"6,600.00",P,YES,HOU,OAK,#N/A,OAK,HOU,12.4,8,8.4,R. Gusto,,,,,,,,,,,,0,1,0.3,1.42,77,,,,,,
Shohei Ohtani,"6,500.00",1B/OF,YES,LAD,BOS,LAD,LAD,BOS,12.3,10,17.3,S. Ohtani,63%,38%,8,4,1,0,0,0,0.5,0.5,1.125,16.14,4.3,0.416,1,13,,,,,,
Aaron Judge,"6,400.00",OF,YES,NYY,PHI,#N/A,PHI,NYY,12.2,10,17.2,A. Judge,47%,0%,13,4,0,0,4,3,0.308,0.412,1.643,26.83,6.9,0.471,,,,,,,,
Clay Holmes,"7,500.00",P,YES,NYM,SF,NYM,NYM,SF,12.1,8,8.1,C. Holmes,,,,,,,,,,,,0,1,0.3,1.27,86,,,,,,
Jose Berrios,"7,400.00",P,YES,TOR,DET,Tor,Tor,DET,11.5,8,7.5,J. Berrios,,,,,,,,,,,,0,1,0.3,1.26,102,,,,,,
Zack Littell,"7,600.00",P,YES,TB,CIN,TB,TB,CIN,11.4,10,6.4,Z. Littell,,,,,,,,,,,,0,1,0.3,1.09,83,,,,,,
Adrian Houser,"8,500.00",P,YES,CWS,CHC,#N/A,CHC,CWS,11.2,8,7.2,A. Houser,,,,,,,,,,,,0,1,0.3,1.23,44,,,,,,
Brayan Bello,"7,800.00",P,YES,BOS,LAD,#N/A,LAD,BOS,11,10,6,B. Bello,,,,,,,,,,,,0,1,0.3,1.27,74,,,,,,
Emmet Sheehan,"6,400.00",P,YES,LAD,BOS,LAD,LAD,BOS,10.9,10,5.9,E. Sheehan,,,,,,,,,,,,0,1,0.3,1.35,16,,,,,,
Kyle Schwarber,"5,900.00",OF,YES,PHI,NYY,Phi,Phi,NYY,10.8,10,15.8,K. Schwarber,33%,0%,2,0,0,0,0,1,0,0.333,0.333,4,3.3,0.403,,,,,,,,
Jose Ramirez,"5,800.00",3B,YES,CLE,KC,Cle,Cle,KC,10.7,8,14.7,J. Ramirez,38%,31%,16,4,0,0,0,0,0.25,0.25,0.5,21.69,1,0.3,,,,,,,,
Elly De,"5,700.00",SS,YES,CIN,TB,#N/A,TB,CIN,10.5,10,15.5,E. De,,,,,,,,,,,,0,1,0.3,,,,,,,,
Pete Crow-Armstrong,"5,800.00",OF,YES,CHC,CWS,CHC,CHC,CWS,10.5,8,14.5,P. Crow-Armstrong,29%,0%,6,1,0,0,0,1,0.167,0.286,0.453,9.2,5.9,0.379,,,,,,,,
Kyle Tucker,"6,300.00",OF,YES,CHC,CWS,CHC,CHC,CWS,10.4,8,14.4,K. Tucker,50%,50%,2,1,0,0,0,0,0.5,0.5,1,6,4.2,0.391,,,,,,,,
Bryce Harper,"5,500.00",1B,YES,PHI,NYY,Phi,Phi,NYY,10.4,10,15.4,B. Harper,0%,0%,3,0,0,0,0,0,0,0,0,3,2.5,0.39,,,,,,,,
James Wood,"5,400.00",OF,YES,WAS,MIN,WAS,WAS,MIN,10.3,10,15.3,J. Wood,,,,,,,,,,,,0,4.2,0.386,,,,,,,,
Fernando Tatis,"5,000.00",OF,YES,SD,STL,SD,SD,STL,10.3,10,15.3,F. Tatis,33%,17%,11,3,0,0,0,1,0.273,0.333,0.606,16.71,1,0.3,,,,,,,,
Joey Wentz,"6,000.00",P,YES,ATL,TEX,Atl,Atl,TEX,10.3,10,5.3,J. Wentz,,,,,,,,,,,,0,1,0.3,1.61,36,,,,,,
Bobby Witt,"5,500.00",SS,YES,KC,CLE,#N/A,CLE,KC,10.2,8,14.2,B. Witt,57%,36%,13,2,0,1,0,1,0.154,0.214,0.522,18.82,1,0.3,,,,,,,,
Kyle Freeland,"5,500.00",P,YES,COL,BAL,Col,Col,BAL,10.1,10,5.1,K. Freeland,,,,,,,,,,,,0,1,0.3,1.53,70,,,,,,
Byron Buxton,"6,000.00",OF,YES,MIN,WAS,#N/A,WAS,MIN,10,10,15,B. Buxton,,,,,,,,,,,,0,3.9,0.403,,,,,,,,
Jazz Chisholm,"5,400.00",2B,YES,NYY,PHI,#N/A,PHI,NYY,9.9,10,14.9,J. Chisholm,60%,5%,15,7,3,0,0,5,0.467,0.6,1.267,32.98,1,0.3,,,,,,,,
Chandler Simpson,"4,600.00",OF,YES,TB,CIN,TB,TB,CIN,9.7,10,14.7,C. Simpson,,,,,,,,,,,,0,0.6,0.328,,,,,,,,
Cody Bellinger,"5,200.00",OF,YES,NYY,PHI,#N/A,PHI,NYY,9.7,10,14.7,C. Bellinger,36%,23%,21,5,0,0,1,1,0.238,0.273,0.654,29.76,3.2,0.359,,,,,,,,
Jordan Westburg,"4,600.00",2B/3B,YES,BAL,COL,#N/A,COL,BAL,9.5,10,14.5,J. Westburg,33%,33%,3,1,0,0,0,0,0.333,0.333,0.666,5.99,1.2,0.333,,,,,,,,
